_id,id,name,user_id,phonenumber.countrycode,phonenumber.number,geotag,govtid.gid,govtid.type,address.street,address.area,address.city,address.district,address.state,address.pincode,address.country,user_type[0],user_type[1],payment_details.upi_id,user_status,franchise_metadata.created_by_franchise,created_at,modified_at,blockchain.blockchain_referance_id,blockchain.pda_address,blockchain.blockchain_tx_hash,blockchain.blockchain_tx_status,blockchain.blockchain_sync_at,blockchain.blockchain_error,blockchain.on_chain_metadata,email,image_url,system_id[0],payment_details.account_number,payment_details.ifsc_code,payment_details.branch_name,payment_details.bank_name
69f1a03667123cf89c04a368,69f1a03667123cf89c04a367,Testuser-1-producer,PS-KRN0001,+91,9999999999,,,Aadhaar,,krishna,,Krishna,ANDHRA PRADESH,521456,India,producer,site,,active,FRAN-NAL-0001,2026-04-29T06:07:50.294Z,2026-04-29T06:38:03.038Z,,,,false,0001-01-01T00:00:00.000Z,,,,,user-1-p,,,,
69f1a06367123cf89c04a36a,69f1a06367123cf89c04a369,TestUser-2-producer,P-KRN0002,+91,9999999998,,,Aadhaar,,krishna,,Krishna,ANDHRA PRADESH,521456,India,producer,,,active,FRAN-NAL-0001,2026-04-29T06:08:35.525Z,2026-04-29T06:38:21.617Z,,,,false,0001-01-01T00:00:00.000Z,,,,,user-2-p,,,,
69f1a08a67123cf89c04a36c,69f1a08a67123cf89c04a36b,TestUser-producer,P-KRN0003,+91,9999999997,,,Aadhaar,,Krishna,,Krishna,ANDHRA PRADESH,521456,India,producer,,,active,FRAN-NAL-0001,2026-04-29T06:09:14.357Z,2026-04-29T06:47:40.682Z,,,,false,0001-01-01T00:00:00.000Z,,,,,user-3-p,,,,
69f1a11267123cf89c04a36e,69f1a11267123cf89c04a36d,User_1sss-producer,P-KRN0004,+91,9999999995,,,Aadhaar,,krishna,,Krishna,Andhra Pradesh,521456,india,producer,,,active,,2026-04-29T06:11:30.766Z,2026-04-29T06:17:28.277Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,1234567890,SBIN0001234,qqw,qqq
69f1a1be67123cf89c04a370,69f1a1be67123cf89c04a36f,TestUser-4-consumer,C-KRN0005,+91,9999999996,,,Aadhaar,,krishan,,Krishna,ANDHRA PRADESH,521456,India,consumer,,,active,FRAN-NAL-0001,2026-04-29T06:14:22.089Z,2026-04-29T06:47:58.676Z,,,,false,0001-01-01T00:00:00.000Z,,,,,user-4-c,,,,
69f1a1e667123cf89c04a372,69f1a1e667123cf89c04a371,TestUser-5-consumer,C-KRN0006,+91,9999999991,,,Aadhaar,,krishna,,Krishna,ANDHRA PRADESH,521456,India,consumer,,,active,FRAN-NAL-0001,2026-04-29T06:15:02.530Z,2026-04-29T06:48:16.668Z,,,,false,0001-01-01T00:00:00.000Z,,,,,user-5-c,,,,
69f1a24167123cf89c04a374,69f1a24167123cf89c04a373,TestUser-6-SIte,S-KRN0007,+91,9191919191,,,Aadhaar,,HYD,,Krishna,ANDHRA PRADESH,521456,India,site,,,active,FRAN-NAL-0001,2026-04-29T06:16:33.384Z,2026-04-29T06:48:42.074Z,,,,false,0001-01-01T00:00:00.000Z,,,,,site-1,,,,
69f1a2cc67123cf89c04a378,69f1a2cc67123cf89c04a377,TestUser-7-partner,R-KRN0008,+91,9999999992,,,Aadhaar,,Krishna,,Krishna,ANDHRA PRADESH,521456,India,partner,,,active,FRAN-NAL-0001,2026-04-29T06:18:52.028Z,2026-04-29T06:49:10.575Z,,,,false,0001-01-01T00:00:00.000Z,,,,,user-7-partner,,,,
69f1ab3f67123cf89c04a38a,69f1ab3f67123cf89c04a389,TestUser-8-franchise,F-KRN0009,+91,9898989898,,,Aadhaar,,,,Krishna,Andhra Pradesh,521456,India,franchise,,,active,,2026-04-29T06:54:55.525Z,2026-04-29T06:56:31.278Z,,,,false,0001-01-01T00:00:00.000Z,,,,,Franchise-1,123456789,SBIN0001234,india,SBI
69f83ee496a37c6048a27d2e,69f83ee496a37c6048a27d2d,pankaj,S-NAL0001,+91,9234567890,,,Aadhaar,riog,bgob,,Nalgonda,TELANGANA,508205,india,site,,,active,FRAN-NAL-0001,2026-05-04T06:38:28.444Z,2026-05-04T06:38:28.444Z,,,,false,0001-01-01T00:00:00.000Z,,,p@gmail.com,,,,,,
